Unnamed: 0,Date,Text,Sentiments
0,2021-04-27,"General Electric's cash outflow was smaller than estimated in the first quarter even as its lucrative jet-engine business struggled with the pandemic-led collapse of air travel, driving down company revenue.",-1
1,2021-04-27,"General Electric reported a 20% fall in quarterly profit, hit by a slump in demand for aircraft engines as airlines struggle to recover from a pandemic-led collapse in travel.",-1
2,2021-04-26,General Electric Co's turnaround plans looked dead in the water to many last spring when its lucrative jet engine business became another victim of the coronavirus pandemic as global air travel dried up.,-1
3,2021-04-16,The U.S. Court of Appeals for the Federal Circuit on Friday reversed a win for General Electric Co before the Patent Trial and Appeal Board that had invalidated parts of a Raytheon Technologies Corp patent covering an airplane engine.,-1
4,2021-04-05,"Billionaire activist investor Carl Icahn's investment firm on Monday named General Electric Co veteran and a former dealmaker, Aris Kekedjian, as its president and chief executive officer.",0
5,2021-04-04,"Former General Electric Co executive Aris Kekedjian will be named chief executive officer of Icahn Enterprises LP, activist investor Carl Icahn told the Wall Street Journal.",0
6,2021-03-16,Global commodities trader and food processor Cargill Ltd on Tuesday named former General Electric executive Jamie Miller as its chief financial officer.,1
7,2021-03-11,"Rolls-Royce said on Thursday it had extended an exclusive deal to provide engines for the Airbus A350-900 to 2030, cementing its alliance with the European plane maker and deferring a potential challenge from rival General Electric.",1
8,2021-03-10,"Lawyers at Paul, Weiss, Rifkind, Wharton & Garrison have been working double time on high-value transactions as companies make up for last year's coronavirus-crimped deal pipeline.",-1
9,2021-03-10,When Irishman Aengus Kelly got his first job in aircraft leasing in 1996 it was with a firm so down on its luck the American giant General Electric had an option to buy it for one dollar.,-1
10,2021-03-10,The world's two largest aircraft leasing companies are combining to create a new financing giant after Ireland's AerCap finalised a deal worth more than $30 billion to buy the leasing business of General Electric.,0
11,2021-03-10,General Electric Co on Wednesday reiterated its 2021 forecast and announced a deal to sell its aircraft-leasing business to Ireland's AerCap Holdings NV as part of efforts to pare its debt.,-1
12,2021-03-10,"General Electric Co will ""over time"" sell its stake in a new financing giant, which will be set up following the merger of its aircraft-leasing business with Ireland's AerCap Holdings NV, the company's chief executive told Reuters.",0
13,2021-03-07,"Aircraft leasing is poised for its biggest shake-up in almost a decade as its top two players, AerCap Holdings and General Electric Co's GECAS, discuss a deal to forge an industry titan with more than 2,000 jets, people familiar with the matter said on Monday.",1
14,2021-03-10,General Electric Co on Wednesday reiterated its forecast to generate $2.5 billion to $4.5 billion in free cash flow this year. (Reporting by Rajesh Kumar Singh; editing by John Stonestreet),0
15,2021-03-10,General Electric Co said on Wednesday Ireland's AerCap Holdings NV would acquire its aircraft-leasing business in a deal that will help reduce the company's debt by $30 billion.,1
16,2021-03-08,A tie-up between leasing giants AerCap and General Electric unit GECAS would reshape global air finance and reunite entities torn apart in one of Ireland's most spectacular corporate collapses three decades ago.,0
17,2021-03-09,Ireland's AerCap Holdings NV on Tuesday confirmed ongoing discussions with General Electric Co to acquire its aircraft-leasing business.,1
18,2021-03-09,Ireland's AerCap Holdings NV on Tuesday confirmed ongoing discussions with General Electric Co to acquire its aircraft-leasing business.,1
19,2021-03-09,A tie-up between leasing giants AerCap and General Electric unit GECAS would reshape global air finance and carve out a new chapter in one of Ireland's greatest corporate adventures.,1
20,2021-03-05,"While the gyrations of so-called meme stocks have taken the spotlight, less trendy General Electric has been outperforming the market on bets a corporate turnaround and broader economic recovery will boost the manufacturing giant.",-1
21,2021-02-26,"A Rossiya Airlines Boeing 777 cargo plane made an emergency landing at Moscow's Sheremetyevo airport on Friday due to a problem with an engine control sensor, the airline said.",-1
22,2021-02-16,"General Electric Co expects a cash outflow in the first quarter of 2021 despite a year-on-year increase in cash generation, Chief Executive Officer Larry Culp said at a Barclays Industrial Conference on Tuesday.",-1
23,2021-02-03,The 2nd U.S. Circuit Court of Appeals in New York said on Wednesday that it would not revive a shareholder lawsuit accusing General Electric of hiding a serious defect in its flagship gas turbine in 2018.,0
24,2021-02-02,Siemens Energy has received a lawsuit filed by rival General Electric accusing a unit of the German firm of using stolen trade secrets to rig bids for gas turbine contracts and cover up improper business gains of more than $1 billion.,-1
25,2021-01-29,A U.S. judge in Manhattan has dismissed most but not all of a shareholder lawsuit accusing General Electric Co of concealing billions of dollars of insurance liabilities and using questionable accounting to prop up its power business.,-1
26,2021-01-26,"General Electric Co on Tuesday offered an upbeat outlook for its business this year after reporting a surge in quarterly free cash flow, showing Chief Executive Larry Culp's turnaround plan is gaining traction.",1
